iteration = 1 , objective = -1.0, inputs = [0.9893617021276596, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -1.0, inputs = [0.9893617021276596, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -1.0, inputs = [0.9893617021276596, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 2 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 3 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 4 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 5 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 6 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 7 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 8 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 9 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 10 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 2 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 3 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 4 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 5 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 6 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 7 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 8 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 9 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 10 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 2 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 3 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 4 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 5 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 6 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 7 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 8 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 9 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -7.89542927211, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 2 , objective = -1.0000000205, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 3 , objective = -1.30759954108, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 4 , objective = -7.89542927211, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 5 , objective = -1.0000000205, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 6 , objective = -1.30759954108, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 7 , objective = -7.89542927211, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 8 , objective = -1.0000000205, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 9 , objective = -1.30759954108, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 10 , objective = -7.89542927211, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -0.615005381598, inputs = [1.0, 1.0, 1.0, 1.0], constraints = [1.0]
iteration = 32 , objective = -0.718205931132, inputs = [1.004934603569103, 0.9999301447215388, 0.9998696034801591, 0.9998758128382494], constraints = [1.0]
iteration = 33 , objective = -0.698816350166, inputs = [0.9999346035691031, 1.0049301447215389, 0.9998696034801591, 0.9998758128382494], constraints = [1.0]
iteration = 34 , objective = -0.077880728024, inputs = [0.9999346035691031, 0.9999301447215388, 1.004869603480159, 0.9998758128382494], constraints = [1.0]
iteration = 35 , objective = -0.094852849674, inputs = [0.9999346035691031, 0.9999301447215388, 0.9998696034801591, 1.0048758128382493], constraints = [1.0]
iteration = 36 , objective = -0.0778807280246, inputs = [0.9999346035691031, 0.9999301447215388, 0.9998696034801591, 0.9998758128382494], constraints = [1.0]
iteration = 37 , objective = -0.718205931132, inputs = [1.004934603569103, 0.9999301447215388, 0.9998696034801591, 0.9998758128382494], constraints = [1.0]
iteration = 38 , objective = -0.698816350166, inputs = [0.9999346035691031, 1.0049301447215389, 0.9998696034801591, 0.9998758128382494], constraints = [1.0]
iteration = 39 , objective = -0.077880728024, inputs = [0.9999346035691031, 0.9999301447215388, 1.004869603480159, 0.9998758128382494], constraints = [1.0]
iteration = 40 , objective = -0.094852849674, inputs = [0.9999346035691031, 0.9999301447215388, 0.9998696034801591, 1.0048758128382493], constraints = [1.0]
iteration = 41 , objective = -0.186489567867, inputs = [1.595744680797012, 1.252589453403906, 0.06666666677954858, 0.11111111121723871], constraints = [-1.0]
iteration = 42 , objective = -0.105281749029, inputs = [1.2981491005874255, 1.1263910280390388, 0.5327834379037067, 0.555031845621889], constraints = [1.0]
iteration = 43 , objective = -0.128363498075, inputs = [1.1491198854140552, 1.0631936772081023, 0.7662042989623853, 0.7773374275828808], constraints = [-1.0]
iteration = 44 , objective = -0.145756048218, inputs = [1.0746712127621976, 1.0316229621707618, 0.8828114571954612, 0.8883918639955066], constraints = [-1.0]
iteration = 45 , objective = -0.156041726466, inputs = [1.0374971081737783, 1.0158589059300627, 0.9410363595545037, 0.9438441519565858], constraints = [-1.0]
iteration = 46 , objective = -0.0796391801231, inputs = [1.018940995233013, 1.00798999795647, 0.9701003511718297, 0.9715241439731297], constraints = [1.0]
iteration = 47 , objective = -0.532204933353, inputs = [1.0094428071845143, 1.0039621949403907, 0.9849771337556917, 0.9856925083387348], constraints = [1.0]
iteration = 48 , objective = -0.079280008621, inputs = [1.0144428071845142, 1.0039621949403907, 0.9849771337556917, 0.9856925083387348], constraints = [1.0]
iteration = 49 , objective = -0.712426906987, inputs = [1.0094428071845143, 1.0089621949403906, 0.9849771337556917, 0.9856925083387348], constraints = [1.0]
iteration = 50 , objective = -0.0787633517221, inputs = [1.0094428071845143, 1.0039621949403907, 0.9899771337556917, 0.9856925083387348], constraints = [1.0]
iteration = 51 , objective = -0.11268125408, inputs = [1.0094428071845143, 1.0039621949403907, 0.9849771337556917, 0.9906925083387348], constraints = [1.0]
iteration = 52 , objective = -0.532204933353, inputs = [1.0094428071845143, 1.0039621949403907, 0.9849771337556917, 0.9856925083387348], constraints = [1.0]
iteration = 53 , objective = -0.079280008621, inputs = [1.0144428071845142, 1.0039621949403907, 0.9849771337556917, 0.9856925083387348], constraints = [1.0]
iteration = 54 , objective = -0.712426906987, inputs = [1.0094428071845143, 1.0089621949403906, 0.9849771337556917, 0.9856925083387348], constraints = [1.0]
iteration = 55 , objective = -0.0787633517221, inputs = [1.0094428071845143, 1.0039621949403907, 0.9899771337556917, 0.9856925083387348], constraints = [1.0]
iteration = 56 , objective = -0.11268125408, inputs = [1.0094428071845143, 1.0039621949403907, 0.9849771337556917, 0.9906925083387348], constraints = [1.0]
iteration = 57 , objective = -0.532204933353, inputs = [1.0094428071845143, 1.0039621949403907, 0.9849771337556917, 0.9856925083387348], constraints = [1.0]
iteration = 58 , objective = -0.079280008621, inputs = [1.0144428071845142, 1.0039621949403907, 0.9849771337556917, 0.9856925083387348], constraints = [1.0]
iteration = 59 , objective = -0.712426906987, inputs = [1.0094428071845143, 1.0089621949403906, 0.9849771337556917, 0.9856925083387348], constraints = [1.0]
iteration = 60 , objective = -0.0787633517221, inputs = [1.0094428071845143, 1.0039621949403907, 0.9899771337556917, 0.9856925083387348], constraints = [1.0]
iteration = 61 , objective = -0.11268125408, inputs = [1.0094428071845143, 1.0039621949403907, 0.9849771337556917, 0.9906925083387348], constraints = [1.0]
iteration = 62 , objective = -0.191549904921, inputs = [1.407142414883196, 1.444888406876532, 0.06747570714953555, 0.11188038731954153], constraints = [1.0]
iteration = 63 , objective = -0.848880991243, inputs = [1.2077971938229173, 1.223876036011242, 0.5273693584616073, 0.5498749617615104], constraints = [-1.0]
iteration = 64 , objective = -0.132231285346, inputs = [1.1090838545439945, 1.1144333865510503, 0.7551031250035386, 0.7667645706483153], constraints = [-1.0]
iteration = 65 , objective = -0.14708784058, inputs = [1.0586869398167247, 1.0585587508365495, 0.8713698757463556, 0.8774949663997339], constraints = [-1.0]
iteration = 66 , objective = -0.157812829518, inputs = [1.0335159142736363, 1.0306518464081431, 0.9294399653261803, 0.9327998920075526], constraints = [-1.0]
iteration = 67 , objective = -0.161934198234, inputs = [1.0209571988413495, 1.0167281041787124, 0.9584131880862945, 0.9603934766043911], constraints = [1.0]
iteration = 68 , objective = -0.0793574149479, inputs = [1.0147064493419715, 1.00979795075344, 0.9728337997037501, 0.9741274118969538], constraints = [1.0]
iteration = 69 , objective = -0.0790011281358, inputs = [1.0115468127417795, 1.0062948882151612, 0.9801231483279748, 0.981069658521837], constraints = [1.0]
iteration = 70 , objective = -0.162652292437, inputs = [1.0100889680159586, 1.0046785880224933, 0.983486427018268, 0.984272785624118], constraints = [1.0]
iteration = 71 , objective = -0.0787770497208, inputs = [1.009563917608927, 1.0040964690498657, 0.9846977294389047, 0.9854264086122451], constraints = [1.0]
iteration = 72 , objective = -0.727598286306, inputs = [1.0094549182269557, 1.0039756223513383, 0.9849491933240131, 0.9856658983660859], constraints = [1.0]
iteration = 73 , objective = -0.0792813803006, inputs = [1.0144549182269555, 1.0039756223513383, 0.9849491933240131, 0.9856658983660859], constraints = [1.0]
iteration = 74 , objective = -0.079029519213, inputs = [1.0094549182269557, 1.0089756223513382, 0.9849491933240131, 0.9856658983660859], constraints = [1.0]
iteration = 75 , objective = -0.078764721583, inputs = [1.0094549182269557, 1.0039756223513383, 0.9899491933240131, 0.9856658983660859], constraints = [1.0]
iteration = 76 , objective = -0.0788760718464, inputs = [1.0094549182269557, 1.0039756223513383, 0.9849491933240131, 0.9906658983660859], constraints = [1.0]
iteration = 77 , objective = -0.727598286306, inputs = [1.0094549182269557, 1.0039756223513383, 0.9849491933240131, 0.9856658983660859], constraints = [1.0]
iteration = 78 , objective = -0.0792813803006, inputs = [1.0144549182269555, 1.0039756223513383, 0.9849491933240131, 0.9856658983660859], constraints = [1.0]
iteration = 79 , objective = -0.079029519213, inputs = [1.0094549182269557, 1.0089756223513382, 0.9849491933240131, 0.9856658983660859], constraints = [1.0]
iteration = 80 , objective = -0.078764721583, inputs = [1.0094549182269557, 1.0039756223513383, 0.9899491933240131, 0.9856658983660859], constraints = [1.0]
iteration = 81 , objective = -0.0788760718464, inputs = [1.0094549182269557, 1.0039756223513383, 0.9849491933240131, 0.9906658983660859], constraints = [1.0]
iteration = 82 , objective = -0.727598286306, inputs = [1.0094549182269557, 1.0039756223513383, 0.9849491933240131, 0.9856658983660859], constraints = [1.0]
iteration = 83 , objective = -0.0792813803006, inputs = [1.0144549182269555, 1.0039756223513383, 0.9849491933240131, 0.9856658983660859], constraints = [1.0]
iteration = 84 , objective = -0.079029519213, inputs = [1.0094549182269557, 1.0089756223513382, 0.9849491933240131, 0.9856658983660859], constraints = [1.0]
iteration = 85 , objective = -0.078764721583, inputs = [1.0094549182269557, 1.0039756223513383, 0.9899491933240131, 0.9856658983660859], constraints = [1.0]
iteration = 86 , objective = -0.0788760718464, inputs = [1.0094549182269557, 1.0039756223513383, 0.9849491933240131, 0.9906658983660859], constraints = [1.0]
iteration = 87 , objective = -0.231078570888, inputs = [1.4993000298767996, 1.3418270984196066, 0.07670762093333527, 0.12066513685371094], constraints = [-1.0]
iteration = 88 , objective = -0.189039332782, inputs = [1.253390758451391, 1.1722208119546407, 0.5326579163085656, 0.5549079250066822], constraints = [1.0]
iteration = 89 , objective = -0.130030463894, inputs = [1.130357635391071, 1.087363535148883, 0.7607785905520573, 0.7721679172111108], constraints = [1.0]
iteration = 90 , objective = -0.145950727673, inputs = [1.068737010788001, 1.0448631233181376, 0.8750318752131779, 0.8809816747415229], constraints = [-1.0]
iteration = 91 , objective = -0.155829041374, inputs = [1.0379791303115917, 1.0236490802001275, 0.9320613015826862, 0.9352959659365303], constraints = [-1.0]
iteration = 92 , objective = -0.16003172163, inputs = [1.02266067150038, 1.0130837733360296, 0.9604638737150017, 0.9623463094466762], constraints = [1.0]
iteration = 93 , objective = -0.0793300556679, inputs = [1.015091123054495, 1.0078629738326947, 0.9744988786977451, 0.9757131166562905], constraints = [1.0]
iteration = 94 , objective = -0.078958713777, inputs = [1.0113864567941646, 1.005307825410008, 0.981367849785631, 0.9822550603444529], constraints = [1.0]
iteration = 95 , objective = -0.700200609697, inputs = [1.0098676216837486, 1.0042602683929949, 0.9841839832042953, 0.9849371194196095], constraints = [1.0]
iteration = 96 , objective = -0.52341487379, inputs = [1.0096180524755929, 1.0040881378085482, 0.9846467195359336, 0.9853778251651006], constraints = [1.0]
iteration = 97 , objective = -0.0787663610812, inputs = [1.0094712316518193, 1.0039868738970592, 0.9849189459452051, 0.9856370910459873], constraints = [1.0]
iteration = 98 , objective = -0.0792830205673, inputs = [1.0144712316518192, 1.0039868738970592, 0.9849189459452051, 0.9856370910459873], constraints = [1.0]
iteration = 99 , objective = -0.100775912207, inputs = [1.0094712316518193, 1.008986873897059, 0.9849189459452051, 0.9856370910459873], constraints = [1.0]
iteration = 100 , objective = -0.0787663610826, inputs = [1.0094712316518193, 1.0039868738970592, 0.9899189459452051, 0.9856370910459873], constraints = [1.0]
iteration = 101 , objective = -0.0788777165867, inputs = [1.0094712316518193, 1.0039868738970592, 0.9849189459452051, 0.9906370910459874], constraints = [1.0]
iteration = 102 , objective = -0.0787663610812, inputs = [1.0094712316518193, 1.0039868738970592, 0.9849189459452051, 0.9856370910459873], constraints = [1.0]
iteration = 103 , objective = -0.0792830205673, inputs = [1.0144712316518192, 1.0039868738970592, 0.9849189459452051, 0.9856370910459873], constraints = [1.0]
iteration = 104 , objective = -0.100775912207, inputs = [1.0094712316518193, 1.008986873897059, 0.9849189459452051, 0.9856370910459873], constraints = [1.0]
