iteration = 1 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-0.91973753179722251, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 12 , objective = 0.000277777777778, inputs = [1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.0045953794798073, 1.0, 1.0, 1.0, 1.0, 0.0, 31263.153953700661, 27038.544489062158, 38900.057478930066, 1.0]
iteration = 13 , objective = 0.000277777777778, inputs = [1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.0118941536420774, 1.0, 1.0, 1.0, 1.0, 0.0, 31165.94644611908, 27469.675674272126, 38847.270982535767, 1.0]
iteration = 14 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.0123355508884002, 1.0, 1.0, 1.0, 1.0, 0.0, 31263.188700254013, 27051.373635251264, 38880.658418516956, 1.0]
iteration = 15 , objective = 0.000277916666667, inputs = [1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-0.91969826869644766, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 16 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0], constraints = [-0.91973753179722251, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 17 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0], constraints = [-0.91973753179722251, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 18 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0], constraints = [-0.91973872370493837, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 19 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0], constraints = [-0.91973881429527138, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 20 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005], constraints = [-0.91973881429527138, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 21 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-0.91973753179722251, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 22 , objective = 0.000277777777778, inputs = [1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.0045953794798073, 1.0, 1.0, 1.0, 1.0, 0.0, 31263.153953700661, 27038.544489062158, 38900.057478930066, 1.0]
iteration = 23 , objective = 0.000277777777778, inputs = [1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.0118941536420774, 1.0, 1.0, 1.0, 1.0, 0.0, 31165.94644611908, 27469.675674272126, 38847.270982535767, 1.0]
iteration = 24 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.0123355508884002, 1.0, 1.0, 1.0, 1.0, 0.0, 31263.188700254013, 27051.373635251264, 38880.658418516956, 1.0]
iteration = 25 , objective = 0.000277916666667, inputs = [1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-0.91969826869644766, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 26 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0], constraints = [-0.91973753179722251, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 27 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0], constraints = [-0.91973753179722251, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 28 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0], constraints = [-0.91973872370493837, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 29 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0], constraints = [-0.91973881429527138, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 30 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005], constraints = [-0.91973881429527138, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 31 , objective = 0.000277984000354, inputs = [1.0584049601148982, 1.0835105141383794, 0.8583986385013053, 1.0007424012730317, 1.0, 1.0, 0.9999690304826104, 0.9999666766603671, 0.9999666766603671], constraints = [-1.1071017725769667, 1.0, -1.0, 1.0, -1.0, 0.0, 28385.886997928988, 28639.987199295152, 44585.315887081109, 1.0]
iteration = 32 , objective = 0.00027788619402, inputs = [1.0307049132320127, 1.0439035158235754, 0.9255567076871741, 1.0003902984716868, 1.0, 1.0, 0.999983718568724, 0.9999824811069126, 0.9999824811069126], constraints = [-1.2529073381140514, 1.0, 1.0, 1.0, 1.0, 0.0, 29807.456377424085, 28640.087877281083, 41832.518222097373, 1.0]
iteration = 33 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.84327285853530498, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 34 , objective = 0.000277826093218, inputs = [1.0141835714322582, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.71627592745882518, 1.0, -1.0, 1.0, -1.0, 0.0, 29200.580256697682, 15606.426858979919, 36725.352735442873, 1.0]
iteration = 35 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0200654972336096, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.72493145759764466, 2.0, -1.0, 2.0, -1.0, 0.0, 26759.044138754722, 0.0, 80336.674034936193, 1.0]
iteration = 36 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.9673245241301318, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-1.2396654003630194, 2.0, 1.0, 2.0, 1.0, 0.0, 30546.804359419097, 28640.149801824264, 80297.286764167278, 1.0]
iteration = 37 , objective = 0.000277964982107, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000673935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.84323448554368763, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 38 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0005, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.84327285853530498, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 39 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0005, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.84327285853530498, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 40 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 1.0004927442189397, 0.9999921927470315, 0.9999921927470315], constraints = [-0.84327357032988348, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 41 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 1.0004921927470316, 0.9999921927470315], constraints = [-0.84327413896100756, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 42 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 1.0004921927470316], constraints = [-0.84327413896100756, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 43 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.84327285853530498, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 44 , objective = 0.000277826093218, inputs = [1.0141835714322582, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.71627592745882518, 1.0, -1.0, 1.0, -1.0, 0.0, 29200.580256697682, 15606.426858979919, 36725.352735442873, 1.0]
iteration = 45 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0200654972336096, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.72493145759764466, 2.0, -1.0, 2.0, -1.0, 0.0, 26759.044138754722, 0.0, 80336.674034936193, 1.0]
iteration = 46 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.9673245241301318, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-1.2396654003630194, 2.0, 1.0, 2.0, 1.0, 0.0, 30546.804359419097, 28640.149801824264, 80297.286764167278, 1.0]
iteration = 47 , objective = 0.000277964982107, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000673935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.84323448554368763, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 48 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0005, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.84327285853530498, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 49 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0005, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.84327285853530498, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 50 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 1.0004927442189397, 0.9999921927470315, 0.9999921927470315], constraints = [-0.84327357032988348, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 51 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 1.0004921927470316, 0.9999921927470315], constraints = [-0.84327413896100756, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 52 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 1.0004921927470316], constraints = [-0.84327413896100756, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 53 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.84327285853530498, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 54 , objective = 0.000277826093218, inputs = [1.0141835714322582, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.71627592745882518, 1.0, -1.0, 1.0, -1.0, 0.0, 29200.580256697682, 15606.426858979919, 36725.352735442873, 1.0]
iteration = 55 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0200654972336096, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.72493145759764466, 2.0, -1.0, 2.0, -1.0, 0.0, 26759.044138754722, 0.0, 80336.674034936193, 1.0]
iteration = 56 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.9673245241301318, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-1.2396654003630194, 2.0, 1.0, 2.0, 1.0, 0.0, 30546.804359419097, 28640.149801824264, 80297.286764167278, 1.0]
iteration = 57 , objective = 0.000277964982107, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000673935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.84323448554368763, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 58 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0005, 1.0, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.84327285853530498, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 59 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0005, 0.9999927442189398, 0.9999921927470315, 0.9999921927470315], constraints = [-0.84327285853530498, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 60 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 1.0004927442189397, 0.9999921927470315, 0.9999921927470315], constraints = [-0.84327357032988348, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 61 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 1.0004921927470316, 0.9999921927470315], constraints = [-0.84327413896100756, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 62 , objective = 0.000277826093218, inputs = [1.0136835714322583, 1.0195654972336097, 0.966824524130132, 1.000173935584083, 1.0, 1.0, 0.9999927442189398, 0.9999921927470315, 1.0004921927470316], constraints = [-0.84327413896100756, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.939261343421, 20640.545689644092, 80297.286764167278, 1.0]
iteration = 63 , objective = 0.000277748578756, inputs = [1.0137259804217498, 1.019798095757542, 0.966161240587053, 0.9998948835209516, 1.0, 1.0, 0.9999927979105483, 0.9999922498988632, 0.9999922498992961], constraints = [-1.2162990874348554, 2.0, 1.0, 2.0, 1.0, 0.0, 30599.181245235737, 23238.655180536702, 80318.966838705644, 1.0]
iteration = 64 , objective = 0.0002777885132, inputs = [1.0137041318612665, 1.0196782640195223, 0.9665029556522359, 1.000038647518924, 1.0, 1.0, 0.9999927702493291, 0.9999922204549819, 0.9999922204551919], constraints = [-1.1452103596258534, 2.0, 1.0, 2.0, 1.0, 0.0, 30503.091256334297, 1739.1060099122008, 80307.797354653492, 1.0]
iteration = 65 , objective = 0.000277806704839, inputs = [1.0136941790213492, 1.0196236761620538, 0.966658619699018, 1.000104137419681, 1.0, 1.0, 0.9999927576486047, 0.9999922070421882, 0.9999922070422963], constraints = [-1.1750794558483253, 2.0, 1.0, 2.0, 1.0, 0.0, 30519.22434619156, 28640.14965313689, 80302.709369923381, 1.0]
iteration = 66 , objective = 0.000277816104485, inputs = [1.013689036374641, 1.0195954705375434, 0.9667390515360033, 1.0001379761456473, 1.0, 1.0, 0.9999927511377924, 0.9999922001117783, 0.9999922001118341], constraints = [-0.91670631544406278, 2.0, 1.0, 2.0, 1.0, 0.0, 30526.802106811505, 7014.6753221348454, 80300.080433947063, 1.0]
iteration = 67 , objective = 0.000277820946274, inputs = [1.0136863873802853, 1.0195809417269208, 0.9667804822416826, 1.0001554065854907, 1.0, 1.0, 0.9999927477840513, 0.9999921965419012, 0.99999219654193], constraints = [-1.1701988708432758, 2.0, 1.0, 2.0, 1.0, 0.0, 30531.093369934672, 28640.149762490029, 80298.726269105362, 1.0]
iteration = 68 , objective = 0.000283759111215, inputs = [1.013685018650004, 1.0195734347184557, 0.9668018894075084, 1.0001644128601856, 1.0, 1.0, 0.9999927460511798, 0.9999921946973526, 0.9999921946973672], constraints = [-0.98619577702346262, -1.0, -1.0, -1.0, -1.0, 0.0, 30533.051587429603, 0.0, 42581.643836527401, 1.0]
iteration = 69 , objective = 0.000277824814128, inputs = [1.0136842712360408, 1.01956933541341, 0.9668135790843336, 1.0001693308601411, 1.0, 1.0, 0.9999927451049215, 0.9999921936901115, 0.9999921936901186], constraints = [-1.0971495316631419, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.064894099192, 28010.680422787889, 80297.644501318369, 1.0]
iteration = 70 , objective = 0.000277825437481, inputs = [1.013683930192713, 1.0195674649096431, 0.9668189130578471, 1.0001715749325732, 1.0, 1.0, 0.999992744673146, 0.9999921932305095, 0.9999921932305132], constraints = [-1.1717511613462448, 2.0, 1.0, 2.0, 1.0, 0.0, 30534.650938927243, 28640.149796734506, 80297.47016115622, 1.0]
iteration = 71 , objective = 0.000277825760187, inputs = [1.013683753636805, 1.0195664965620337, 0.9668216744211718, 1.0001727366742459, 1.0, 1.0, 0.9999927444496186, 0.9999921929925767, 0.9999921929925786], constraints = [-1.1614497266751811, 2.0, 1.0, 2.0, 1.0, 0.0, 30535.277866101871, 28640.149798323542, 80297.379906429458, 1.0]
iteration = 72 , objective = 0.000289046368939, inputs = [1.0136836591361926, 1.0195659782591164, 0.9668231524262318, 1.0001733584903088, 1.0, 1.0, 0.9999927443299768, 0.9999921928652244, 0.9999921928652253], constraints = [-0.83294540452709731, -1.0, 1.0, -1.0, 1.0, 0.0, 30535.284552636043, 0.0, 80297.331598076998, 1.0]
iteration = 73 , objective = 0.000277826019035, inputs = [1.0136836120185138, 1.0195657198350727, 0.9668238893544482, 1.0001736685256493, 1.0, 1.0, 0.9999927442703237, 0.999992192801727, 0.9999921928017275], constraints = [-1.1682280231454605, 2.0, 1.0, 2.0, 1.0, 0.0, 30535.280782041755, 28640.149800566742, 80297.307511702194, 1.0]
iteration = 74 , objective = 0.000277826019035, inputs = [1.0141836120185137, 1.0195657198350727, 0.9668238893544482, 1.0001736685256493, 1.0, 1.0, 0.9999927442703237, 0.999992192801727, 0.9999921928017275], constraints = [-0.75803333275356533, 2.0, -1.0, 2.0, -1.0, 0.0, 29200.531600264512, 16665.954685526573, 80336.88010715472, 1.0]
iteration = 75 , objective = 0.000282786593814, inputs = [1.0136836120185138, 1.0200657198350727, 0.9668238893544482, 1.0001736685256493, 1.0, 1.0, 0.9999927442703237, 0.999992192801727, 0.9999921928017275], constraints = [-0.50899333004210912, -1.0, -1.0, -1.0, -1.0, 0.0, 26629.069274696187, 0.0, 39693.130355537476, 1.0]
iteration = 76 , objective = 0.000277826019035, inputs = [1.0136836120185138, 1.0195657198350727, 0.9673238893544481, 1.0001736685256493, 1.0, 1.0, 0.9999927442703237, 0.999992192801727, 0.9999921928017275], constraints = [-1.052145387564573, 1.0, 1.0, 1.0, 1.0, 0.0, 30547.224788365347, 28640.149800566742, 45613.96495066808, 1.0]
iteration = 77 , objective = 0.000277964907924, inputs = [1.0136836120185138, 1.0195657198350727, 0.9668238893544482, 1.0006736685256492, 1.0, 1.0, 0.9999927442703237, 0.999992192801727, 0.9999921928017275], constraints = [-1.1681896601719439, 2.0, 1.0, 2.0, 1.0, 0.0, 30535.280782041755, 28640.149800566742, 80297.307511702194, 1.0]
iteration = 78 , objective = 0.000277826019035, inputs = [1.0136836120185138, 1.0195657198350727, 0.9668238893544482, 1.0001736685256493, 1.0005, 1.0, 0.9999927442703237, 0.999992192801727, 0.9999921928017275], constraints = [-1.1682280231454605, 2.0, 1.0, 2.0, 1.0, 0.0, 30535.280782041755, 28640.149800566742, 80297.307511702194, 1.0]
iteration = 79 , objective = 0.000277826019035, inputs = [1.0136836120185138, 1.0195657198350727, 0.9668238893544482, 1.0001736685256493, 1.0, 1.0005, 0.9999927442703237, 0.999992192801727, 0.9999921928017275], constraints = [-1.1682280231454605, 2.0, 1.0, 2.0, 1.0, 0.0, 30535.280782041755, 28640.149800566742, 80297.307511702194, 1.0]
iteration = 80 , objective = 0.000277826019035, inputs = [1.0136836120185138, 1.0195657198350727, 0.9668238893544482, 1.0001736685256493, 1.0, 1.0, 1.0004927442703238, 0.999992192801727, 0.9999921928017275], constraints = [-1.1682287355502134, 2.0, 1.0, 2.0, 1.0, 0.0, 30535.280782041755, 28640.149800566742, 80297.307511702194, 1.0]
iteration = 81 , objective = 0.000277826019035, inputs = [1.0136836120185138, 1.0195657198350727, 0.9668238893544482, 1.0001736685256493, 1.0, 1.0, 0.9999927442703237, 1.000492192801727, 0.9999921928017275], constraints = [-1.1682293035544193, 2.0, 1.0, 2.0, 1.0, 0.0, 30535.280782041755, 28640.149800566742, 80297.307511702194, 1.0]
iteration = 82 , objective = 0.000277826019035, inputs = [1.0136836120185138, 1.0195657198350727, 0.9668238893544482, 1.0001736685256493, 1.0, 1.0, 0.9999927442703237, 0.999992192801727, 1.0004921928017274], constraints = [-1.1682293035544193, 2.0, 1.0, 2.0, 1.0, 0.0, 30535.280782041755, 28640.149800566742, 80297.307511702194, 1.0]
iteration = 83 , objective = 0.000277826019035, inputs = [1.0136836120185138, 1.0195657198350727, 0.9668238893544482, 1.0001736685256493, 1.0, 1.0, 0.9999927442703237, 0.999992192801727, 0.9999921928017275], constraints = [-1.1682280231454605, 2.0, 1.0, 2.0, 1.0, 0.0, 30535.280782041755, 28640.149800566742, 80297.307511702194, 1.0]
iteration = 84 , objective = 0.000277826019035, inputs = [1.0141836120185137, 1.0195657198350727, 0.9668238893544482, 1.0001736685256493, 1.0, 1.0, 0.9999927442703237, 0.999992192801727, 0.9999921928017275], constraints = [-0.75803333275356533, 2.0, -1.0, 2.0, -1.0, 0.0, 29200.531600264512, 16665.954685526573, 80336.88010715472, 1.0]
